2026-07-22 14:20:09,736 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.88 ms
2026-07-22 14:31:16,338 | 127.0.0.1 | GET | /api/v1/documents | 200 | 13.89 ms
2026-07-22 14:31:16,356 | 127.0.0.1 | GET | /api/v1/history | 200 | 12.38 ms
2026-07-22 14:31:21,850 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.71 ms
2026-07-22 14:31:21,860 | 127.0.0.1 | GET | /api/v1/history | 200 | 3.89 ms
2026-07-22 14:31:30,064 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.54 ms
2026-07-22 14:31:46,166 | 127.0.0.1 | POST | /api/v1/query | 200 | 16094.71 ms
2026-07-22 14:32:09,531 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.63 ms
2026-07-22 14:32:24,966 | 127.0.0.1 | POST | /api/v1/query | 200 | 15426.49 ms
2026-07-22 14:32:46,168 | 127.0.0.1 | GET | /api/v1/documents | 200 | 7.16 ms
2026-07-22 14:33:02,593 | 127.0.0.1 | POST | /api/v1/query | 200 | 16408.43 ms
2026-07-22 14:33:13,891 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.49 ms
2026-07-22 14:33:29,813 | 127.0.0.1 | POST | /api/v1/query | 200 | 15907.92 ms
2026-07-22 14:34:04,193 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.54 ms
2026-07-22 14:34:18,432 | 127.0.0.1 | POST | /api/v1/query | 200 | 14226.60 ms
2026-07-22 14:35:14,692 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.79 ms
2026-07-22 14:35:29,952 | 127.0.0.1 | POST | /api/v1/query | 200 | 15241.53 ms
2026-07-22 14:36:01,890 | 127.0.0.1 | GET | /api/v1/documents | 200 | 5.22 ms
2026-07-22 14:36:16,582 | 127.0.0.1 | POST | /api/v1/query | 200 | 14661.07 ms
2026-07-22 14:36:24,896 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.87 ms
2026-07-22 14:36:39,949 | 127.0.0.1 | POST | /api/v1/query | 200 | 15035.14 ms
2026-07-22 14:37:07,533 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.58 ms
2026-07-22 14:37:21,418 | 127.0.0.1 | POST | /api/v1/query | 200 | 13866.58 ms
